Resultados de Consultas
==============================

Conteo de Registros en Todas las Tablas
---------------------------------------
PASSENGER | 97738
AIRPORT | 9027
FLIGHT_INFO | 97738
FLIGHT | 98832

Porcentaje de Pasajeros por Género
----------------------------------
Male | 50.304896764820
Female | 49.695103235179

Nacionalidades con Su Mes y Año de Mayor Fecha de Salida
--------------------------------------------------------
Afghanistan | 26 | 33 | 40 | 31 | 38 | 33 | 36 | 36 | 31 | 33 | 29 | 32
Aland Islands | 3 | 1 | 2 | 4 | 2 | 1 | 2 | 1 | 2 | 1 | 1 | 0
Albania | 37 | 30 | 37 | 33 | 32 | 44 | 42 | 39 | 33 | 34 | 45 | 38
Algeria | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1
American Samoa | 2 | 2 | 2 | 3 | 3 | 4 | 1 | 2 | 1 | 4 | 2 | 0
Andorra | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 3 | 1
Angola | 9 | 8 | 3 | 6 | 7 | 9 | 8 | 8 | 4 | 10 | 2 | 7
Anguilla | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0
Antigua and Barbuda | 1 | 1 | 2 | 1 | 3 | 2 | 1 | 1 | 2 | 1 | 2 | 1
Argentina | 96 | 88 | 116 | 115 | 108 | 102 | 129 | 110 | 95 | 126 | 119 | 109
Armenia | 32 | 29 | 36 | 37 | 25 | 42 | 38 | 37 | 25 | 42 | 35 | 24
Aruba | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0
Australia | 3 | 7 | 9 | 7 | 4 | 9 | 8 | 8 | 7 | 5 | 10 | 9
Austria | 3 | 2 | 4 | 0 | 2 | 2 | 4 | 5 | 3 | 2 | 2 | 5
Azerbaijan | 27 | 19 | 22 | 15 | 29 | 15 | 23 | 30 | 21 | 19 | 19 | 20
Bahamas | 8 | 2 | 3 | 3 | 2 | 1 | 2 | 1 | 0 | 4 | 5 | 4
Bahrain | 1 | 0 | 3 | 2 | 3 | 1 | 3 | 3 | 5 | 2 | 0 | 1
Bangladesh | 24 | 20 | 24 | 20 | 13 | 17 | 21 | 23 | 16 | 18 | 21 | 27
Barbados | 1 | 2 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 1
Belarus | 30 | 26 | 31 | 28 | 25 | 25 | 25 | 24 | 22 | 32 | 33 | 35
Belgium | 2 | 4 | 2 | 1 | 0 | 1 | 3 | 1 | 2 | 2 | 2 | 5
Belize | 6 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 4 | 2 | 0
Benin | 7 | 3 | 3 | 1 | 1 | 3 | 13 | 10 | 5 | 7 | 8 | 5
Bermuda | 3 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0
Bhutan | 2 | 6 | 5 | 5 | 3 | 2 | 2 | 1 | 0 | 1 | 2 | 6
Bolivia | 19 | 20 | 20 | 19 | 13 | 17 | 18 | 24 | 20 | 19 | 14 | 11
Bonaire, Saint Eustatius and Saba  | 0 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
Bosnia and Herzegovina | 18 | 21 | 13 | 19 | 22 | 27 | 32 | 28 | 19 | 24 | 19 | 33
Botswana | 11 | 6 | 12 | 9 | 12 | 7 | 6 | 5 | 9 | 15 | 5 | 9
Brazil | 355 | 319 | 307 | 276 | 342 | 323 | 350 | 325 | 280 | 307 | 296 | 307
British Virgin Islands | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0
Brunei | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0
Bulgaria | 31 | 28 | 33 | 40 | 27 | 29 | 26 | 26 | 31 | 34 | 24 | 31
Burkina Faso | 10 | 3 | 7 | 9 | 13 | 5 | 5 | 7 | 8 | 5 | 6 | 6
Burundi | 1 | 6 | 1 | 6 | 3 | 2 | 2 | 1 | 1 | 2 | 0 | 3
Cambodia | 5 | 4 | 4 | 5 | 10 | 8 | 9 | 9 | 5 | 7 | 12 | 8
Cameroon | 10 | 17 | 18 | 15 | 23 | 22 | 20 | 20 | 16 | 17 | 18 | 14
Canada | 123 | 95 | 98 | 96 | 106 | 109 | 83 | 89 | 101 | 113 | 111 | 85
Cape Verde | 1 | 3 | 3 | 2 | 3 | 5 | 3 | 3 | 0 | 6 | 2 | 1
Cayman Islands | 3 | 1 | 0 | 0 | 3 | 1 | 0 | 1 | 1 | 0 | 0 | 0
Central African Republic | 9 | 4 | 4 | 6 | 6 | 8 | 6 | 6 | 8 | 8 | 2 | 6
Chad | 11 | 10 | 10 | 7 | 7 | 7 | 9 | 7 | 4 | 3 | 6 | 6
Chile | 25 | 17 | 27 | 23 | 17 | 22 | 31 | 24 | 23 | 21 | 24 | 22
China | 1504 | 1470 | 1609 | 1466 | 1593 | 1494 | 1592 | 1583 | 1485 | 1607 | 1470 | 1492
Christmas Island | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
Cocos Islands | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0
Colombia | 114 | 100 | 101 | 112 | 123 | 126 | 106 | 92 | 116 | 114 | 100 | 113
Comoros | 7 | 4 | 5 | 4 | 16 | 9 | 9 | 6 | 9 | 9 | 6 | 7
Cook Islands | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0
Costa Rica | 18 | 15 | 14 | 20 | 17 | 12 | 12 | 20 | 19 | 12 | 9 | 20
Croatia | 39 | 44 | 44 | 44 | 51 | 47 | 39 | 35 | 39 | 51 | 44 | 32
Cuba | 35 | 22 | 31 | 31 | 27 | 28 | 24 | 32 | 33 | 23 | 31 | 27
Curacao | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0
Cyprus | 14 | 9 | 8 | 9 | 8 | 7 | 8 | 8 | 12 | 5 | 4 | 8
Czech Republic | 141 | 131 | 146 | 123 | 136 | 138 | 151 | 149 | 135 | 161 | 144 | 139
Democratic Republic of the Congo | 14 | 8 | 12 | 23 | 14 | 16 | 9 | 19 | 9 | 13 | 12 | 9
Denmark | 15 | 8 | 12 | 3 | 15 | 7 | 12 | 9 | 11 | 15 | 13 | 8
Djibouti | 0 | 2 | 1 | 2 | 1 | 0 | 5 | 2 | 2 | 6 | 1 | 1
Dominica | 4 | 2 | 0 | 2 | 2 | 4 | 1 | 2 | 4 | 2 | 1 | 3
Dominican Republic | 23 | 16 | 25 | 26 | 28 | 27 | 23 | 28 | 23 | 23 | 22 | 28
East Timor | 3 | 4 | 4 | 4 | 2 | 2 | 5 | 3 | 1 | 1 | 0 | 2
Ecuador | 18 | 19 | 25 | 15 | 22 | 19 | 21 | 14 | 18 | 16 | 12 | 29
Egypt | 26 | 14 | 27 | 19 | 28 | 21 | 29 | 20 | 14 | 29 | 15 | 18
El Salvador | 14 | 10 | 16 | 7 | 13 | 5 | 11 | 4 | 7 | 6 | 14 | 9
Equatorial Guinea | 2 | 0 | 1 | 1 | 1 | 1 | 0 | 4 | 2 | 2 | 1 | 4
Eritrea | 2 | 3 | 2 | 1 | 4 | 2 | 3 | 2 | 0 | 1 | 1 | 1
Estonia | 12 | 8 | 7 | 19 | 12 | 9 | 7 | 13 | 11 | 11 | 4 | 5
Ethiopia | 21 | 16 | 17 | 11 | 18 | 25 | 16 | 18 | 23 | 25 | 18 | 24
Falkland Islands | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1
Faroe Islands | 0 | 0 | 0 | 1 | 0 | 4 | 1 | 1 | 2 | 2 | 1 | 1
Fiji | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 3 | 1
Finland | 44 | 36 | 47 | 48 | 43 | 59 | 50 | 57 | 45 | 37 | 49 | 43
France | 262 | 219 | 235 | 230 | 242 | 239 | 254 | 273 | 256 | 248 | 220 | 237
French Guiana | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0
French Polynesia | 4 | 2 | 3 | 2 | 3 | 2 | 4 | 7 | 4 | 2 | 6 | 7
French Southern Territories | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0
Gabon | 3 | 3 | 2 | 1 | 0 | 2 | 3 | 6 | 3 | 2 | 2 | 5
Gambia | 3 | 9 | 8 | 4 | 6 | 7 | 6 | 6 | 12 | 6 | 6 | 6
